CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
uz;;COUNTRY;Uzbekistan;;
uz03;uz;REGION;Fergana;;
uz1512979;uz03;CITY;Kokand;;
uz1513243;uz03;CITY;Margilan;;
uz1513650;uz03;CITY;Hamza;;
uz1216189;uz03;CITY;Shohimardon;;
uz1513491;uz03;CITY;Yangi Marg‘ilon;;
uz1513555;uz03;CITY;Kirguli;;
uz1538549;uz03;CITY;Chimyon;;
uz1512399;uz03;CITY;Yoyilma;;
uz1512706;uz03;CITY;Ikkinchi Tekelik;;
uz1512736;uz03;CITY;Sultanobod;;
uz1512792;uz03;CITY;Sho‘rsuv;;
uz1512883;uz03;CITY;Siriqo‘rg‘on;;
uz1513894;uz03;CITY;Ishtirxon;;
uz1514301;uz03;CITY;Buvayda;;
uz1514417;uz03;CITY;Boyston;;
uz1527683;uz03;CITY;Limbur;;
uz1216087;uz03;CITY;So‘x;;
uz10974665;uz03;CITY;Tinchlik;;
uz1217232;uz03;CITY;Yordon;;
uz1538536;uz03;CITY;Navkat;;
uz1538538;uz03;CITY;Do‘stlik;;
uz1538547;uz03;CITY;Qorajiyda;;
uz1538548;uz03;CITY;Yangiqo‘rg‘on;;
uz1538556;uz03;CITY;Bag‘dod;;
uz1538560;uz03;CITY;Qumqiyali;;
uz1538562;uz03;CITY;Jurgun;;
uz1538569;uz03;CITY;Dehqonto‘da;;
uz1538570;uz03;CITY;Novkat;;
uz1538572;uz03;CITY;Tovul;;
uz1514572;uz03;CITY;Arabmozor;;
uz1514594;uz03;CITY;Amirobod;;
uz1514634;uz03;CITY;Oq‘er;;
uz1514669;uz03;CITY;Oqqo‘rg‘on;;
uz1514701;uz03;CITY;Akbarobod;;
uz1512375;uz03;CITY;Yangiqishloq;;
uz1512395;uz03;CITY;Yakkatut;;
uz1512398;uz03;CITY;Yakkatut;;
uz1512415;uz03;CITY;Ko‘priqboshi;;
uz1512416;uz03;CITY;Varux;;
uz1512418;uz03;CITY;Valik;;
uz1512489;uz03;CITY;O‘qchi-Dasht;;
uz1512558;uz03;CITY;Tul;;
uz1512610;uz03;CITY;Tiliming;;
uz1512621;uz03;CITY;Taypoq;;
uz1512660;uz03;CITY;Tolhovuz;;
uz1512678;uz03;CITY;Gamboy;;
uz1512682;uz03;CITY;Tolmazor;;
uz1512789;uz03;CITY;Sho‘x;;
uz1512859;uz03;CITY;Soyguzar;;
uz1512863;uz03;CITY;Soybo‘yi;;
uz1512867;uz03;CITY;Sovurtepa;;
uz1513012;uz03;CITY;Pastki-Qo‘riq;;
uz1513128;uz03;CITY;Nayman;;
uz1513167;uz03;CITY;Muyon;;
uz1513219;uz03;CITY;Mehnatobod;;
uz1513278;uz03;CITY;Navoiy;;
uz1513367;uz03;CITY;Qiyali-Qo‘rg‘oncha;;
uz1513374;uz03;CITY;Qurbonqashg‘ar;;
uz1513480;uz03;CITY;Qo‘chqorchi;;
uz1513579;uz03;CITY;Xo‘jaxasan;;
uz1513590;uz03;CITY;Xo‘jaqishloq;;
uz1513634;uz03;CITY;Xonqiz;;
uz1513646;uz03;CITY;Xonobod;;
uz1513647;uz03;CITY;Xonobod;;
uz1513705;uz03;CITY;Katta Boybucha;;
uz1513719;uz03;CITY;Karimbobo;;
uz1513827;uz03;CITY;Kaptarxona;;
uz1513852;uz03;CITY;Kalamush;;
uz1513872;uz03;CITY;Qoqir;;
uz1513873;uz03;CITY;Qaqir;;
uz1513987;uz03;CITY;G‘aznov;;
uz1514023;uz03;CITY;Fayziobod;;
uz1514110;uz03;CITY;Jaloyir;;
uz1514133;uz03;CITY;Do‘rmon;;
uz1514149;uz03;CITY;Cho‘ldevona;;
uz1514163;uz03;CITY;Dashtqishloq;;
uz1514241;uz03;CITY;Chekchuvaldoq;;
uz1514271;uz03;CITY;Chon-Qora;;
uz1514401;uz03;CITY;Bekobod;;
uz1514403;uz03;CITY;Bekobod;;
uz1514404;uz03;CITY;Bekobod;;
uz1514518;uz03;CITY;Avval;;
uz1476410;uz03;CITY;Xushyor;;
uz1476412;uz03;CITY;Sariqanda;;
uz1476415;uz03;CITY;Sharqobod;;
uz1217509;uz03;CITY;Dimersant;;
uz8376086;uz03;CITY;Mehnatobod;;
uz8376121;uz03;CITY;Yangiyo‘l;;
uz8376181;uz03;CITY;Yangimachit;;
uz7563898;uz03;CITY;Jaloir;;
uz7564609;uz03;CITY;To‘riq;;
uz8140490;uz03;CITY;Uchtol;;
uz8140519;uz03;CITY;Anorzor;;
uz8140520;uz03;CITY;Turkqishloq;;
uz8140521;uz03;CITY;Paxtaobod;;
uz8140524;uz03;CITY;O‘zbek;;
uz8140525;uz03;CITY;Mozortagi;;
uz8140526;uz03;CITY;Qo‘rg‘oncha;;
uz8140528;uz03;CITY;Qirg‘iz;;
uz8140530;uz03;CITY;Qo‘shkechik;;
uz8140532;uz03;CITY;Uraboshi;;
uz8140533;uz03;CITY;Qayrog‘och;;
uz8140534;uz03;CITY;Yangiobod;;
uz8140535;uz03;CITY;Dehqonobod;;
uz8140538;uz03;CITY;Zindontepa;;
uz8140543;uz03;CITY;So‘fi;;
uz8140544;uz03;CITY;Maxchagar;;
uz8140551;uz03;CITY;Turkravot;;
uz8140552;uz03;CITY;Qorashoh;;
uz8140554;uz03;CITY;Yuqori-Xo‘jaxasan;;
uz8140557;uz03;CITY;Qizilyuldyz;;
uz8140558;uz03;CITY;Qizilqushin;;
uz8140560;uz03;CITY;Oqtepa;;
uz8140561;uz03;CITY;Kandi;;
uz8140562;uz03;CITY;Qo‘rg‘oncha;;
uz8140564;uz03;CITY;Tojik;;
uz7538900;uz03;CITY;Quyimozor;;
uz7538903;uz03;CITY;Olqar;;
uz7562662;uz03;CITY;Mayda-Yilga;;
uz10651728;uz03;CITY;Sabirjan;;
uz10651783;uz03;CITY;Baxshital;;
uz10901344;uz03;CITY;Gagarinobod;;
uz10904936;uz03;CITY;Qalaybola;;
uz10908323;uz03;CITY;Qoramqo‘l;;
uz10909214;uz03;CITY;Ilg‘or;;
uz10972995;uz03;CITY;Birinchi Tekelik;;
uz10972997;uz03;CITY;Chorva;;
uz10972999;uz03;CITY;Yozuovonchek;;
uz10973180;uz03;CITY;Sh. Rashidov;;
uz10973181;uz03;CITY;Xolmatobod;;
uz10973682;uz03;CITY;Garmidan;;
uz10973689;uz03;CITY;Ikkinchi Besarang;;
uz10974498;uz03;CITY;Beykabul;;
uz10974506;uz03;CITY;Xo‘jaqishloq;;
uz10974654;uz03;CITY;Tiliming;;
uz10974860;uz03;CITY;Qayirma;;
uz10975014;uz03;CITY;Sirlimachit;;
uz10975020;uz03;CITY;To‘rvo;;
uz10975115;uz03;CITY;Qizilariq;;
uz10975441;uz03;CITY;Naymanbo‘ston;;
uz11056884;uz03;CITY;Cho‘lguliston;;
uz11057095;uz03;CITY;Hakimto‘ra;;
uz11057103;uz03;CITY;Oyimqishloq;;
uz11057347;uz03;CITY;Imomboki;;
uz11057381;uz03;CITY;Bahrin;;
uz11057404;uz03;CITY;Yulginzor;;
uz1514698;uz03;CITY;Oqbilol;;
uz1512969;uz03;CITY;Rapqon;;
uz1513743;uz03;CITY;Qoratepa;;
uz1542072;uz03;CITY;Limbur;;
uz1542080;uz03;CITY;Qalacha;;
uz1542121;uz03;CITY;Qalacha;;
uz1542327;uz03;CITY;Qoradovon;;
uz1542758;uz03;CITY;Muqimy;;
uz1542769;uz03;CITY;Yangiobod;;
uz1538539;uz03;CITY;Sufon;;
uz1538544;uz03;CITY;Qatortol;;
uz1538545;uz03;CITY;Yangihayot;;
uz1538546;uz03;CITY;Yangiariq;;
uz1538551;uz03;CITY;Eski Arab;;
uz1538552;uz03;CITY;Qiziltepa;;
uz1538553;uz03;CITY;Yangiyo‘l;;
uz1538554;uz03;CITY;Yangiobod;;
uz1538557;uz03;CITY;Matqulobod;;
uz1538558;uz03;CITY;Yangiqadam;;
uz1538561;uz03;CITY;Bog‘ish;;
uz1538563;uz03;CITY;Eski-Shildir;;
uz1538565;uz03;CITY;Qashqar;;
uz1538566;uz03;CITY;Kichik-To‘rtaygir;;
uz1538567;uz03;CITY;Qizilmusht;;
uz1538568;uz03;CITY;Shoyimbek;;
uz1538571;uz03;CITY;Yangiqishloq;;
uz1538576;uz03;CITY;Dahana-Qaqir;;
uz1538577;uz03;CITY;Nursuq;;
