CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
za;;COUNTRY;South Africa;;
za06;za;REGION;Gauteng;;
za953781;za06;CITY;Soweto;;
za1020098;za06;CITY;Benoni;;
za949880;za06;CITY;Tembisa;;
za963241;za06;CITY;Randburg;;
za1105776;za06;CITY;Midrand;;
za1105777;za06;CITY;Centurion;;
za1016181;za06;CITY;Brakpan;;
za970566;za06;CITY;Nigel;;
za1017780;za06;CITY;Boksburg;;
za1023441;za06;CITY;Alberton;;
za936374;za06;CITY;Roodepoort;;
za980921;za06;CITY;Mabopane;;
za1105726;za06;CITY;Ekangala;;
za1006834;za06;CITY;Edenvale;;
za1012413;za06;CITY;Cullinan;;
za1015504;za06;CITY;Bronkhorstspruit;;
za939493;za06;CITY;Wingate Park;;
za940522;za06;CITY;Welverdiend;;
za941728;za06;CITY;Waterkloof;;
za942789;za06;CITY;Vosloorus;;
za944499;za06;CITY;Venterspos;;
za959103;za06;CITY;Rosslyn;;
za959931;za06;CITY;Rooihuiskraal;;
za961065;za06;CITY;Rivonia;;
za963049;za06;CITY;Rayton;;
za963145;za06;CITY;Ratanda;;
za947570;za06;CITY;Turffontein;;
za948046;za06;CITY;Tsakane;;
za948155;za06;CITY;Trevallyn;;
za948542;za06;CITY;Tokoza;;
za949879;za06;CITY;Tembisa;;
za952869;za06;CITY;Springs;;
za954013;za06;CITY;Soshanguve;;
za955577;za06;CITY;Silverton;;
za956162;za06;CITY;Sharpeville;;
za956785;za06;CITY;Sebokeng;;
za1105727;za06;CITY;Kwamhlanga;;
za1105772;za06;CITY;Akasia;;
za1105773;za06;CITY;Garsfontein;;
za1005739;za06;CITY;Elsburg;;
za1007601;za06;CITY;Duduza;;
za1010627;za06;CITY;Devon;;
za1011696;za06;CITY;Daveyton;;
za1011858;za06;CITY;Danville;;
za1013366;za06;CITY;Clayville;;
za1013683;za06;CITY;Chartwell;;
za1017447;za06;CITY;Bophelong;;
za987065;za06;CITY;Kromdraai;;
za991062;za06;CITY;Khutsong;;
za991247;za06;CITY;Kew;;
za991415;za06;CITY;Kempton Park;;
za991632;za06;CITY;Katlehong;;
za1001830;za06;CITY;Gladysvale;;
za1003820;za06;CITY;Fourways;;
za1004091;za06;CITY;Fontainebleau;;
za1004348;za06;CITY;Ferndale;;
za1004453;za06;CITY;Farmall;;
za1004666;za06;CITY;Faerie Glen;;
za1004866;za06;CITY;Evaton;;
za994864;za06;CITY;Inadan;;
za996921;za06;CITY;Henley on Klip;;
za974919;za06;CITY;Mohlakeng;;
za982332;za06;CITY;Lombardy East;;
za982716;za06;CITY;Lindequesdrif;;
za983199;za06;CITY;Lenasia;;
za984148;za06;CITY;Lawley;;
za984185;za06;CITY;Laudium;;
za985218;za06;CITY;KwaThema;;
za979635;za06;CITY;Mamelodi;;
za980557;za06;CITY;Magaliesburg;;
za966196;za06;CITY;Parkhurst;;
za968517;za06;CITY;Oberholzer;;
za1017877;za06;CITY;Boipatong;;
za1020375;za06;CITY;Bekkersdal;;
za1020590;za06;CITY;Bedfordview;;
za1022055;za06;CITY;Atteridgeville;;
za8126042;za06;CITY;Dunkeld West;;
za9253674;za06;CITY;Faerie Glen;;
za7288040;za06;CITY;Lone Hill;;
za7306539;za06;CITY;Amandasig;;
za7670491;za06;CITY;Greenside;;
za7289436;za06;CITY;Jukskei Park;;
za7290084;za06;CITY;Bonaero Park;;
za7290485;za06;CITY;Paulshof;;
za7290695;za06;CITY;Douglasdale;;
za7291234;za06;CITY;Mogale City;;
za7627570;za06;CITY;Waverley;;
za7576033;za06;CITY;Southdale;;
za6930519;za06;CITY;Rosebank;;
